类别	问 句
顺序类	请 按 传 输 速 率 由 高 至 低 的 顺 序 依 次 写 出 E t h e r n e t 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 域 域 网 体 系 结 构 的 层 次 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 域 域 网 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 中 的 网 络 单 元 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 点 对 点 线 路 通 信 子 网 的 基 本 拓 扑 构 型 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 广 播 信 道 通 信 子 网 的 基 本 拓 扑 构 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 星 型 拓 扑 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 环 型 拓 扑 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 树 型 拓 扑 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 状 拓 扑 的 特 点 。
顺序类	请 按 速 度 由 慢 至 快 的 顺 序 依 次 写 出 数 据 传 输 速 率 的 常 用 单 位 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 协 议 的 组 成 要 素 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 层 次 结 构 模 型 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 O S I 参 考 模 型 的 功 能 。
顺序类	请 按 由 低 到 高 的 顺 序 依 次 写 出 O S I 参 考 模 型 的 三 级 抽 象 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 O S I 体 系 结 构 的 具 体 内 容 。
顺序类	请 按 由 低 到 高 的 顺 序 依 次 写 出 O S I 参 考 模 型 的 各 个 层 次 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 数 据 链 路 层 的 任 务 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 层 的 功 能 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 表 示 层 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 应 用 层 的 任 务 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 应 用 层 的 协 议 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 T C P / I P 的 特 点 。
顺序类	请 按 覆 盖 范 围 由 大 至 小 的 顺 序 依 次 写 出 T C P / I P 的 适 用 网 络 。
顺序类	请 按 由 低 到 高 的 顺 序 依 次 写 出 T C P / I P 参 考 模 型 的 各 个 层 次 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 主 机 - 网 络 层 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 T C P / I P 的 优 点 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 T C P / I P 可 连 接 的 局 域 网 类 型 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 T C P / I P 可 连 接 的 公 共 数 据 网 类 型 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 互 联 层 的 主 要 功 能 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 互 联 层 处 理 分 组 的 过 程 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 互 联 层 处 理 转 发 数 据 报 的 过 程 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 互 联 层 处 理 I P 数 据 报 的 过 程 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 互 联 层 的 协 议 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 T C P 协 议 的 特 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 T C P 协 议 的 作 用 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 U D P 协 议 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 T C P / I P 应 用 层 的 协 议 。
顺序类	请 按 应 用 范 围 由 小 至 大 的 顺 序 依 次 写 出 T C P / I P 应 用 层 协 议 的 类 型 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 面 向 连 接 的 T C P 协 议 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 O S I 参 考 模 型 与 协 议 的 主 要 缺 陷 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 计 算 机 网 络 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 A R P A N E T 的 研 究 内 容 。
顺序类	请 按 覆 盖 范 围 由 大 至 小 的 顺 序 依 次 写 出 N S F N E T 的 层 次 型 结 构 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 N S F N E T 的 互 联 原 理 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 I n t e r n e t 的 应 用 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 网 络 研 究 与 应 用 的 热 点 问 题 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 络 的 资 源 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 移 动 计 算 的 具 体 内 容 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 实 现 移 动 计 算 机 网 络 的 关 键 技 术 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 无 线 局 域 网 的 无 线 电 波 类 型 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 A d   h o c 网 络 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 W A P 协 议 的 特 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 建 立 网 络 视 频 会 议 的 工 具 。
顺序类	请 按 复 杂 程 度 由 简 至 繁 的 顺 序 依 次 写 出 网 络 多 媒 体 应 用 系 统 的 基 本 结 构 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 多 媒 体 网 络 应 用 对 数 据 通 信 的 要 求 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 改 进 协 议 的 方 法 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 路 由 器 的 硬 件 体 系 结 构 的 发 展 阶 段 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 机 群 系 统 的 组 件 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 机 群 系 统 的 分 类 依 据 。
顺序类	请 按 处 理 机 复 杂 程 度 由 简 至 繁 的 顺 序 依 次 写 出 机 群 系 统 的 类 型 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 网 格 计 算 的 应 用 领 域 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 I E E E 对 于 局 域 网 的 定 义 。
顺序类	请 按 由 小 至 大 的 顺 序 依 次 写 出 局 域 网 覆 盖 的 地 理 范 围 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 局 域 网 的 特 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 局 域 网 连 接 的 数 据 通 信 设 备 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 局 域 网 的 主 要 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 决 定 局 域 网 特 性 的 主 要 技 术 要 素 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 局 域 网 的 拓 扑 构 型 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 总 线 型 拓 扑 构 型 的 原 理 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 总 线 型 拓 扑 构 型 接 发 数 据 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 总 线 型 拓 扑 构 型 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 总 线 型 拓 扑 构 型 的 主 要 特 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 环 型 拓 扑 构 型 的 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 环 型 拓 扑 构 型 的 主 要 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 环 型 拓 扑 构 型 的 主 要 缺 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 环 型 拓 扑 构 型 的 特 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 星 型 拓 扑 构 型 的 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 星 型 拓 扑 构 型 的 主 要 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 星 型 拓 扑 构 型 的 主 要 缺 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 局 域 网 的 传 输 介 质 类 型 。
顺序类	请 按 由 内 至 外 的 顺 序 依 次 写 出 屏 蔽 双 绞 线 的 组 成 。
顺序类	请 按 通 信 质 量 由 低 至 高 的 顺 序 依 次 写 出 局 域 网 中 常 用 的 几 种 非 屏 蔽 双 绞 线 类 型 。
顺序类	请 按 通 信 质 量 由 低 至 高 的 顺 序 依 次 写 出 局 域 网 中 常 用 的 几 种 数 据 传 输 类 型 。
顺序类	请 按 通 信 质 量 由 低 至 高 的 顺 序 依 次 写 出 局 域 网 中 常 用 的 几 种 屏 蔽 双 绞 线 类 型 。
顺序类	请 按 通 信 质 量 由 低 至 高 的 顺 序 依 次 写 出 U T P 的 类 型 。
顺序类	请 按 通 信 质 量 由 低 至 高 的 顺 序 依 次 写 出 U T P 的 数 据 传 输 速 率 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 光 纤 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 单 模 光 纤 的 特 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 传 统 局 域 网 介 质 访 问 控 制 方 式 的 类 型 。
顺序类	请 按 由 低 到 高 的 顺 序 依 次 写 出 I E E E   8 0 2 参 考 模 型 的 各 个 层 次 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 I E E E   8 0 2 标 准 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 I E E E   8 0 2 . 1 标 准 的 内 容 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 I E E E   8 0 2 参 考 模 型 M A C 子 层 定 义 的 规 范 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 C S M A / C D 的 内 容 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 C S M A / C D 的 工 作 原 理 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 C S M A / C D 的 发 送 流 程 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 发 生 冲 突 时 的 操 作 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 C S M A / C D 的 特 点 。
顺序类	请 按 由 低 到 高 的 顺 序 依 次 写 出 I E E E   8 0 2 . 3 以 太 网 体 系 结 构 的 各 个 层 次 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 P L S 子 层 的 内 容 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 P L S 子 层 的 功 能 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 P M A 子 层 的 功 能 。
顺序类	请 按 由 前 往 后 的 顺 序 依 次 写 出 I E E E   8 0 2 . 3 的 帧 结 构 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 目 的 地 址 的 内 容 。
顺序类	请 按 由 前 往 后 的 顺 序 依 次 写 出 I E E E   8 0 2 . 3 以 太 网 组 网 方 式 的 组 成 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 常 用 的 1 0 M b p s 以 太 网 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 双 绞 线 以 太 网 系 统 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 B a s e - F 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 令 牌 的 特 性 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 令 牌 环 技 术 不 存 在 争 用 现 象 的 原 因 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 令 牌 环 的 主 要 优 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 I E E E   8 0 2 . 5 标 准 在 I B M   T o k e n   R i n g 协 议 基 础 上 所 做 的 改 进 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 单 令 牌 协 议 的 优 势 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 C S M A / C D 在 冲 突 增 多 情 况 下 的 劣 势 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 正 常 的 稳 态 操 作 的 内 容 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 令 牌 传 送 的 原 理 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 环 维 护 工 作 的 内 容 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 环 初 始 化 的 内 容 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 站 点 从 环 中 撤 出 的 内 容 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 优 先 级 机 制 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 令 牌 总 线 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 令 牌 总 线 的 缺 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 C S M A / C D 、 T o k e n   B u s 、 T o k e n   R i n g 此 三 者 的 区 别 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 C S M A / C D 相 较 于 确 定 型 介 质 访 问 控 制 方 法 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 确 定 型 介 质 访 问 控 制 方 法 相 较 于 随 机 型 介 质 访 问 控 制 方 法 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 C S M A / C D 和 令 牌 网 络 各 自 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 M A C 地 址 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 克 服 网 络 规 模 与 网 络 性 能 之 间 矛 盾 的 几 种 解 决 方 案 。
顺序类	请 按 由 慢 至 快 的 顺 序 依 次 写 出 E t h e r n e t 的 几 种 数 据 传 输 速 率 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 桥 和 路 由 器 的 作 用 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 F D D I 双 环 结 构 的 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 发 生 故 障 时 F D D I 的 操 作 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 F D D I 双 环 拓 扑 结 构 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 F D D I 的 技 术 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 快 速 以 太 网 同 传 统 以 太 网 的 相 同 之 处 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 1 0 0 B a s e - T 制 定 的 传 输 介 质 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 0 B a s e - T X 的 硬 件 系 统 组 成 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 0 B a s e - T X 的 组 网 规 则 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 0 B a s e - F X 的 硬 件 系 统 组 成 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 快 速 以 太 网 的 优 点 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 千 兆 位 以 太 网 的 适 用 领 域 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 千 兆 位 以 太 网 同 传 统 以 太 网 的 相 同 之 处 。
顺序类	请 按 应 用 范 围 由 高 至 低 的 顺 序 依 次 写 出 I E E E   8 0 2 . 3 z 千 兆 位 以 太 网 标 准 定 义 的 介 质 系 统 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 0 0 B a s e - S X 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 0 0 B a s e - S X 支 持 的 两 种 多 模 光 纤 的 主 要 区 别 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 0 0 B a s e - L X 的 特 性 。
顺序类	请 按 由 大 至 小 的 顺 序 依 次 写 出 1 0 0 0 B a s e - L X 使 用 的 光 纤 规 格 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 0 0 B a s e - C X 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 0 0 B a s e - T 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 万 兆 位 以 太 网 的 主 要 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 典 型 交 换 局 域 网 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 交 换 机 同 传 统 H U B 的 区 别 。
顺序类	请 按 功 能 由 小 至 大 的 顺 序 依 次 写 出 以 太 网 交 换 机 的 帧 转 发 方 式 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 直 接 交 换 方 式 的 工 作 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 直 接 交 换 方 式 的 优 缺 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 存 储 转 发 方 式 的 工 作 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 存 储 转 发 方 式 的 优 缺 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 改 进 直 接 交 换 方 式 的 工 作 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 改 进 直 接 交 换 方 式 的 特 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 局 域 网 交 换 机 的 主 要 技 术 特 点 。
顺序类	请 按 由 大 至 小 的 顺 序 依 次 写 出 传 输 延 迟 时 间 的 量 级 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 虚 拟 局 域 网 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 虚 拟 局 域 网 的 组 网 方 法 同 传 统 局 域 网 的 区 别 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 虚 拟 局 域 网 成 员 的 定 义 方 法 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 用 交 换 机 端 口 号 定 义 虚 拟 局 域 网 方 法 的 主 要 缺 点 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 用 M A C 地 址 定 义 虚 拟 局 域 网 方 法 的 要 求 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 用 网 络 层 地 址 定 义 虚 拟 局 域 网 方 法 的 缺 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 I P 广 播 组 虚 拟 局 域 网 的 动 态 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 用 无 线 局 域 网 的 应 用 领 域 。
顺序类	请 按 开 放 程 度 由 小 至 大 的 顺 序 依 次 写 出 不 能 进 行 结 构 化 布 线 技 术 的 建 筑 物 类 型 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 无 线 局 域 网 的 主 要 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 红 外 线 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 红 外 线 无 线 局 域 网 的 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 红 外 线 局 域 网 的 数 据 传 输 技 术 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 扩 频 技 术 的 特 性 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 跳 频 通 信 的 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 发 送 频 率 变 换 的 原 理 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 窄 带 微 波 无 线 网 产 品 的 应 用 。
顺序类	请 按 时 间 先 后 顺 序 依 次 写 出 I E E E   8 0 2 . 1 1 标 准 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 I E E E   8 0 2 . 1 1 标 准 的 特 性 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 I E E E   8 0 2 . 1 1 协 议 的 物 理 层 技 术 。
顺序类	请 按 由 大 至 小 的 顺 序 依 次 写 出 I E E E   8 0 2 . 1 1 b 标 准 的 数 据 传 输 速 率 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 I E E E   8 0 2 . 1 1 g 标 准 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 I E E E   8 0 2 . 1 1 j 标 准 的 内 容 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 基 础 设 施 网 络 同 自 组 网 络 的 区 别 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 组 建 无 线 局 域 网 所 需 的 设 备 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 局 域 网 的 组 网 设 备 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 卡 的 特 性 。
顺序类	请 按 层 次 由 高 至 低 的 顺 序 依 次 写 出 网 卡 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 卡 实 现 的 数 据 链 路 层 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 网 卡 实 现 的 物 理 层 功 能 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 网 卡 的 分 类 标 准 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 标 准 以 太 网 卡 同 P C M C I A 网 卡 的 区 别 。
顺序类	请 按 传 输 速 率 由 小 至 大 的 顺 序 依 次 写 出 网 卡 的 类 型 。
顺序类	请 按 传 输 介 质 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 网 卡 的 类 型 。
顺序类	请 按 传 输 介 质 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 网 卡 的 接 口 类 型 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 R J - 4 5 端 口 的 端 口 数 类 型 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 向 上 连 接 端 口 的 传 输 介 质 类 型 。
顺序类	请 按 传 输 介 质 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 向 上 连 接 端 口 的 端 口 类 型 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 集 线 器 的 分 类 标 准 。
顺序类	请 按 传 输 速 率 由 小 至 大 的 顺 序 依 次 写 出 集 线 器 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 堆 叠 式 集 线 器 的 特 性 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 局 域 网 交 换 机 的 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 1 0 / 1 0 0 M b p s 自 适 应 的 局 域 网 交 换 机 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 双 绞 线 组 网 的 基 本 硬 件 设 备 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 单 一 集 线 器 的 特 性 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 单 一 集 线 器 支 持 的 端 口 类 型 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 多 集 线 器 级 联 的 方 法 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 快 速 以 太 网 组 网 的 基 本 硬 件 设 备 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 千 兆 位 以 太 网 组 网 的 基 本 硬 件 设 备 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 千 兆 位 以 太 网 组 网 的 组 网 思 路 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 采 用 双 绞 线 作 为 网 络 传 输 介 质 的 最 大 优 点 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 结 构 化 布 线 系 统 所 使 用 的 组 网 器 件 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 线 路 接 口 连 接 的 设 备 类 型 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 智 能 大 楼 的 组 成 部 分 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 办 公 自 动 化 系 统 的 组 成 部 分 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 办 公 自 动 化 系 统 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 通 信 自 动 化 系 统 的 主 要 内 容 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 通 信 自 动 化 系 统 的 功 能 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 楼 宇 自 动 化 系 统 使 用 的 设 备 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 楼 宇 自 动 化 系 统 监 管 的 设 施 。
顺序类	请 按 重 要 程 度 由 高 至 低 的 顺 序 依 次 写 出 结 构 化 布 线 系 统 的 应 用 环 境 。
顺序类	请 按 应 用 范 围 由 低 至 高 的 顺 序 依 次 写 出 建 筑 物 综 合 布 线 系 统 可 连 接 的 设 备 与 网 络 系 统 类 型 。
