问 句	标 准 答 案	学 生 答 案	得分
对 称 加 密 技 术 的 组 成 部 分 是 什 么 ？	对 称 加 密 技 术 的 五 大 组 成 部 分 ： 明 文 、 加 密 算 法 、 共 享 的 密 钥 、 密 文 、 解 密 算 法 。	明 文 、 密 文 、 加 密 算 法 、 解 密 算 法 、 共 享 的 密 钥 。	10.0
常 用 的 对 称 加 密 算 法 有 哪 些 ？	常 用 的 对 称 加 密 算 法 有 四 种 ： 数 据 加 密 标 准 、 3 D E S 、 R C - 5 、 国 际 数 据 加 密 算 法 。	常 用 的 对 称 加 密 算 法 ： 数 据 加 密 标 准 、 3 D E S 、 R C - 5 、 国 际 数 据 加 密 算 法 。	10.0
常 用 的 对 称 加 密 算 法 有 哪 些 ？	常 用 的 对 称 加 密 算 法 有 四 种 ： 数 据 加 密 标 准 、 3 D E S 、 R C - 5 、 国 际 数 据 加 密 算 法 。	3 D E S 、 R C - 5 、 数 据 加 密 标 准 、 国 际 数 据 加 密 算 法 。	10.0
公 钥 加 密 技 术 的 组 成 部 分 是 什 么 ？	公 钥 加 密 技 术 的 五 大 组 成 部 分 ： 明 文 、 加 密 算 法 、 公 共 的 和 私 有 的 密 钥 、 密 文 、 解 密 算 法 。	公 钥 加 密 技 术 的 组 成 ： 明 文 、 加 密 算 法 、 公 共 的 和 私 有 的 密 钥 、 密 文 、 解 密 算 法 。	10.0
公 钥 加 密 技 术 的 组 成 部 分 是 什 么 ？	公 钥 加 密 技 术 的 五 大 组 成 部 分 ： 明 文 、 加 密 算 法 、 公 共 的 和 私 有 的 密 钥 、 密 文 、 解 密 算 法 。	明 文 、 密 文 、 加 密 算 法 、 解 密 算 法 、 公 共 的 和 私 有 的 密 钥 。	10.0
常 用 的 公 钥 体 制 有 哪 些 ?	常 用 的 公 钥 体 制 有 三 种 ： R S A 公 钥 体 制 、 E l g a m a l 公 钥 体 制 、 背 包 公 钥 体 制 。	常 用 的 公 钥 体 制 ： R S A 公 钥 体 制 、 E l g a m a l 公 钥 体 制 、 背 包 公 钥 体 制 。	10.0
常 用 的 公 钥 体 制 有 哪 些 ?	常 用 的 公 钥 体 制 有 三 种 ： R S A 公 钥 体 制 、 E l g a m a l 公 钥 体 制 、 背 包 公 钥 体 制 。	背 包 公 钥 体 制 、 E l g a m a l 公 钥 体 制 、 R S A 公 钥 体 制 。	10.0
什 么 是 密 钥 的 生 存 周 期 ?	一 个 密 钥 的 生 存 周 期 主 要 经 过 如 下 几 个 阶 段 ： 密 钥 的 产 生 、 密 钥 的 分 发 、 启 用 密 钥 、 撤 销 密 钥 、 销 毁 密 钥 。	密 钥 的 生 存 周 期 ： 密 钥 的 产 生 、 密 钥 的 分 发 、 启 用 密 钥 、 撤 销 密 钥 、 销 毁 密 钥 。	10.0
什 么 是 密 钥 的 生 存 周 期 ?	一 个 密 钥 的 生 存 周 期 主 要 经 过 如 下 几 个 阶 段 ： 密 钥 的 产 生 、 密 钥 的 分 发 、 启 用 密 钥 、 撤 销 密 钥 、 销 毁 密 钥 。	一 个 密 钥 的 生 存 周 期 主 要 经 过 如 下 几 个 阶 段 ： 密 钥 的 申 请 、 密 钥 的 授 权 、 停 用 密 钥 、 分 配 密 钥 、 销 毁 密 钥 。	2.0
认 证 方 式 有 哪 些 ?	常 用 的 认 证 方 式 有 三 种 ： 帐 户 名 / 口 令 认 证 、 使 用 摘 要 算 法 的 认 证 、 基 于 公 钥 基 础 设 施 的 认 证 。	常 用 的 认 证 方 式 ： 帐 户 名 / 口 令 认 证 、 使 用 摘 要 算 法 的 认 证 、 基 于 公 钥 基 础 设 施 的 认 证 。	10.0
认 证 方 式 有 哪 些 ?	常 用 的 认 证 方 式 有 三 种 ： 帐 户 名 / 口 令 认 证 、 使 用 摘 要 算 法 的 认 证 、 基 于 公 钥 基 础 设 施 的 认 证 。	基 于 公 钥 基 础 设 施 的 认 证 、 使 用 摘 要 算 法 的 认 证 、 帐 户 名 / 口 令 认 证 。	10.0
认 证 技 术 有 哪 些 ?	目 前 有 关 认 证 的 技 术 主 要 有 以 下 三 种 ： 消 息 认 证 、 身 份 认 证 、 数 字 签 名 。	认 证 的 技 术 ： 消 息 认 证 、 身 份 认 证 、 数 字 签 名 。	10.0
认 证 技 术 有 哪 些 ?	目 前 有 关 认 证 的 技 术 主 要 有 以 下 三 种 ： 消 息 认 证 、 身 份 认 证 、 数 字 签 名 。	消 息 认 证 、 个 人 持 证 、 个 人 特 征 。	3.0
消 息 认 证 的 内 容 有 哪 些 ?	消 息 认 证 的 内 容 包 括 以 下 三 方 面 ： 消 息 的 信 源 和 信 宿 、 消 息 内 容 是 否 篡 改 、 消 息 的 序 号 和 时 间 性 。	消 息 认 证 的 内 容 ： 消 息 的 信 源 和 信 宿 、 消 息 内 容 是 否 篡 改 、 消 息 的 序 号 和 时 间 性 。	10.0
消 息 认 证 的 内 容 有 哪 些 ?	消 息 认 证 的 内 容 包 括 以 下 三 方 面 ： 消 息 的 信 源 和 信 宿 、 消 息 内 容 是 否 篡 改 、 消 息 的 序 号 和 时 间 性 。	消 息 内 容 是 否 篡 改 、 消 息 的 信 源 和 信 宿 、 消 息 的 序 号 和 时 间 性 。	10.0
身 份 认 证 有 哪 些 类 别 ?	身 份 认 证 有 以 下 三 种 类 别 ： 个 人 知 道 的 某 种 事 物 、 个 人 持 证 、 个 人 特 征 。	身 份 认 证 的 类 别 ： 个 人 知 道 的 某 种 事 物 、 个 人 持 证 、 个 人 特 征 。	10.0
身 份 认 证 有 哪 些 类 别 ?	身 份 认 证 有 以 下 三 种 类 别 ： 个 人 知 道 的 某 种 事 物 、 个 人 持 证 、 个 人 特 征 。	个 人 特 征 、 个 人 持 证 、 个 人 知 道 的 某 种 事 物 。	10.0
数 字 签 名 应 满 足 哪 些 要 求 ?	数 字 签 名 应 满 足 以 下 要 求 ： 收 方 能 确 认 发 方 的 签 名 但 不 能 伪 造 ； 发 方 发 出 签 名 消 息 后 就 不 能 再 否 认 他 所 签 发 的 消 息 ； 收 方 对 已 收 到 签 名 消 息 不 能 否 认 ； 第 三 者 可 确 定 收 发 双 方 之 间 的 消 息 传 送 但 不 能 伪 造 这 一 过 程 。	数 字 签 名 的 要 求 ： 收 方 能 确 认 发 方 的 签 名 但 不 能 伪 造 ； 发 方 发 出 签 名 消 息 后 就 不 能 再 否 认 他 所 签 发 的 消 息 ； 收 方 对 已 收 到 签 名 消 息 不 能 否 认 ； 第 三 者 可 确 定 收 发 双 方 之 间 的 消 息 传 送 但 不 能 伪 造 这 一 过 程 。	10.0
数 字 签 名 应 满 足 哪 些 要 求 ?	数 字 签 名 应 满 足 以 下 要 求 ： 收 方 能 确 认 发 方 的 签 名 但 不 能 伪 造 ； 发 方 发 出 签 名 消 息 后 就 不 能 再 否 认 他 所 签 发 的 消 息 ； 收 方 对 已 收 到 签 名 消 息 不 能 否 认 ； 第 三 者 可 确 定 收 发 双 方 之 间 的 消 息 传 送 但 不 能 伪 造 这 一 过 程 。	收 方 能 辨 识 发 方 的 签 名 但 不 能 篡 改 ； 发 方 发 出 签 名 确 认 后 就 不 能 再 伪 造 他 所 签 发 的 内 容 ； 收 方 对 已 确 认 签 名 内 容 不 能 伪 造 ； 第 三 者 可 确 定 收 发 双 方 之 间 的 消 息 传 送 但 不 能 伪 造 这 一 过 程 。	2.5
设 计 认 证 协 议 时 应 注 意 哪 些 问 题 ?	设 计 认 证 协 议 时 应 注 意 以 下 几 个 方 面 ： 重 放 和 窃 听 攻 击 、 非 重 复 值 的 使 用 、 互 认 证 协 议 、 维 持 认 证 。	设 计 认 证 协 议 时 应 注 意 ： 重 放 和 窃 听 攻 击 、 非 重 复 值 的 使 用 、 互 认 证 协 议 、 维 持 认 证 。	10.0
设 计 认 证 协 议 时 应 注 意 哪 些 问 题 ?	设 计 认 证 协 议 时 应 注 意 以 下 几 个 方 面 ： 重 放 和 窃 听 攻 击 、 非 重 复 值 的 使 用 、 互 认 证 协 议 、 维 持 认 证 。	维 持 认 证 、 互 认 证 协 议 、 非 重 复 值 的 使 用 、 重 放 和 窃 听 攻 击 。	10.0
主 动 攻 击 有 哪 些 ?	主 动 攻 击 主 要 包 括 ： 针 对 同 一 验 证 者 的 重 放 、 针 对 不 同 验 证 者 的 重 放 、 反 射 攻 击 、 窃 听 重 放 。	主 动 攻 击 ： 针 对 同 一 验 证 者 的 重 放 、 针 对 不 同 验 证 者 的 重 放 、 反 射 攻 击 、 窃 听 重 放 。	10.0
主 动 攻 击 有 哪 些 ?	主 动 攻 击 主 要 包 括 ： 针 对 同 一 验 证 者 的 重 放 、 针 对 不 同 验 证 者 的 重 放 、 反 射 攻 击 、 窃 听 重 放 。	针 对 同 一 验 证 者 的 重 放 、 针 对 不 同 验 证 者 的 重 放 、 假 冒 身 份 、 内 容 篡 改 。	5.0
防 火 墙 有 哪 些 类 别 ?	防 火 墙 有 以 下 三 种 类 别 ： 数 据 包 过 滤 、 应 用 级 网 关 、 代 理 服 务 器 。	防 火 墙 的 类 别 ： 数 据 包 过 滤 、 应 用 级 网 关 、 代 理 服 务 器 。	10.0
防 火 墙 有 哪 些 类 别 ?	防 火 墙 有 以 下 三 种 类 别 ： 数 据 包 过 滤 、 应 用 级 网 关 、 代 理 服 务 器 。	数 据 包 过 滤 、 代 理 服 务 器 、 应 用 级 网 关 。	10.0
防 火 墙 在 网 络 系 统 中 的 作 用 是 什 么 ?	防 火 墙 在 网 络 系 统 中 的 四 种 作 用 ： 控 制 进 出 网 络 的 信 息 流 向 和 信 息 包 、 提 供 使 用 和 流 量 的 日 志 和 审 计 、 隐 藏 内 部 I P 地 址 及 网 络 结 构 的 细 节 、 提 供 虚 拟 专 用 网 功 能 。	防 火 墙 在 网 络 系 统 中 的 作 用 ： 控 制 进 出 网 络 的 信 息 流 向 和 信 息 包 、 提 供 使 用 和 流 量 的 日 志 和 审 计 、 隐 藏 内 部 I P 地 址 及 网 络 结 构 的 细 节 、 提 供 虚 拟 专 用 网 功 能 。	10.0
防 火 墙 在 网 络 系 统 中 的 作 用 是 什 么 ?	防 火 墙 在 网 络 系 统 中 的 四 种 作 用 ： 控 制 进 出 网 络 的 信 息 流 向 和 信 息 包 、 提 供 使 用 和 流 量 的 日 志 和 审 计 、 隐 藏 内 部 I P 地 址 及 网 络 结 构 的 细 节 、 提 供 虚 拟 专 用 网 功 能 。	提 供 虚 拟 专 用 网 功 能 、 提 供 使 用 和 流 量 的 日 志 和 审 计 、 控 制 进 出 网 络 的 信 息 流 向 和 信 息 包 、 隐 藏 内 部 I P 地 址 及 网 络 结 构 的 细 节 。	10.0
防 火 墙 提 供 哪 些 服 务 ?	防 火 墙 提 供 以 下 四 类 服 务 ： 服 务 控 制 、 方 向 控 制 、 用 户 控 制 、 行 为 控 制 。	防 火 墙 提 供 的 服 务 ： 服 务 控 制 、 方 向 控 制 、 用 户 控 制 、 行 为 控 制 。	10.0
防 火 墙 提 供 哪 些 服 务 ?	防 火 墙 提 供 以 下 四 类 服 务 ： 服 务 控 制 、 方 向 控 制 、 用 户 控 制 、 行 为 控 制 。	用 户 控 制 、 行 为 控 制 、 方 向 控 制 、 服 务 控 制 。	10.0
根 据 网 络 系 统 的 安 全 需 要 ， 可 在 哪 些 位 置 部 署 防 火 墙 ?	根 据 网 络 系 统 的 安 全 需 要 ， 可 在 如 下 位 置 部 署 防 火 墙 ： 在 局 域 网 内 的 V L A N 之 间 控 制 信 息 流 向 时 加 入 防 火 墙 ； 内 部 网 与 因 特 网 之 间 连 接 时 加 入 防 火 墙 ； 在 远 程 用 户 拨 号 访 问 时 加 入 虚 拟 专 网 ； 利 用 一 些 防 火 墙 软 件 提 供 的 负 载 平 衡 功 能 ； 两 网 对 接 时 可 利 用 硬 件 防 火 墙 作 为 网 关 设 备 实 现 地 址 转 换 和 映 射 。	防 火 墙 的 部 署 ： 在 局 域 网 内 的 V L A N 之 间 控 制 信 息 流 向 时 加 入 防 火 墙 ； 内 部 网 与 因 特 网 之 间 连 接 时 加 入 防 火 墙 ； 在 远 程 用 户 拨 号 访 问 时 加 入 虚 拟 专 网 ； 利 用 一 些 防 火 墙 软 件 提 供 的 负 载 平 衡 功 能 ； 两 网 对 接 时 可 利 用 硬 件 防 火 墙 作 为 网 关 设 备 实 现 地 址 转 换 和 映 射 。	10.0
根 据 网 络 系 统 的 安 全 需 要 ， 可 在 哪 些 位 置 部 署 防 火 墙 ?	根 据 网 络 系 统 的 安 全 需 要 ， 可 在 如 下 位 置 部 署 防 火 墙 ： 在 局 域 网 内 的 V L A N 之 间 控 制 信 息 流 向 时 加 入 防 火 墙 ； 内 部 网 与 因 特 网 之 间 连 接 时 加 入 防 火 墙 ； 在 远 程 用 户 拨 号 访 问 时 加 入 虚 拟 专 网 ； 利 用 一 些 防 火 墙 软 件 提 供 的 负 载 平 衡 功 能 ； 两 网 对 接 时 可 利 用 硬 件 防 火 墙 作 为 网 关 设 备 实 现 地 址 转 换 和 映 射 。	总 部 的 局 域 网 与 分 支 机 构 的 局 域 网 需 要 各 自 安 装 防 火 墙 组 成 虚 拟 专 网 ； 在 远 程 用 户 拨 号 访 问 时 加 入 虚 拟 专 网 ； 内 部 网 与 因 特 网 之 间 连 接 时 加 入 防 火 墙 ； I S P 可 在 公 共 访 问 服 务 器 和 客 户 端 之 间 加 入 防 火 墙 进 行 存 取 控 制 和 流 量 控 制 ； 总 部 局 域 网 与 各 分 支 机 构 的 连 接 需 采 用 防 火 墙 隔 离 。	4.0
电 子 商 务 的 交 易 类 型 有 哪 些 ?	电 子 商 务 的 三 种 交 易 类 型 ： 企 业 与 用 户 的 交 易 、 企 业 间 的 交 易 、 企 业 与 政 府 的 交 易 。	电 子 商 务 的 交 易 类 型 ： 企 业 与 用 户 的 交 易 、 企 业 间 的 交 易 、 企 业 与 政 府 的 交 易 。	10.0
电 子 商 务 的 交 易 类 型 有 哪 些 ?	电 子 商 务 的 三 种 交 易 类 型 ： 企 业 与 用 户 的 交 易 、 企 业 间 的 交 易 、 企 业 与 政 府 的 交 易 。	企 业 间 的 交 易 、 企 业 与 用 户 的 交 易 、 企 业 与 政 府 的 交 易 。	10.0
电 子 商 务 的 优 点 有 哪 些 ?	电 子 商 务 具 有 如 下 优 点 ： 以 最 小 的 费 用 制 作 最 大 的 广 告 ； 丰 富 的 网 络 资 源 有 利 于 企 业 了 解 市 场 变 化 并 做 出 理 性 的 决 策 ； 展 示 产 品 而 不 需 要 占 用 店 面 ； 及 时 获 得 顾 客 的 反 馈 信 息 ； 在 线 交 易 方 便 快 捷 。	电 子 商 务 的 优 点 ： 以 最 小 的 费 用 制 作 最 大 的 广 告 ； 丰 富 的 网 络 资 源 有 利 于 企 业 了 解 市 场 变 化 并 做 出 理 性 的 决 策 ； 展 示 产 品 而 不 需 要 占 用 店 面 ； 及 时 获 得 顾 客 的 反 馈 信 息 ； 在 线 交 易 方 便 快 捷 。	10.0
电 子 商 务 的 优 点 有 哪 些 ?	电 子 商 务 具 有 如 下 优 点 ： 以 最 小 的 费 用 制 作 最 大 的 广 告 ； 丰 富 的 网 络 资 源 有 利 于 企 业 了 解 市 场 变 化 并 做 出 理 性 的 决 策 ； 展 示 产 品 而 不 需 要 占 用 店 面 ； 及 时 获 得 顾 客 的 反 馈 信 息 ； 在 线 交 易 方 便 快 捷 。	成 本 低 ； 易 于 安 装 ； 可 维 护 性 高 ； 在 线 交 易 方 便 快 捷 ； 丰 富 的 网 络 资 源 有 利 于 企 业 了 解 市 场 变 化 并 做 出 理 性 的 决 策 。	4.0
电 子 商 务 的 应 用 范 围 有 哪 些 ?	电 子 商 务 的 三 大 应 用 范 围 ： 企 业 与 消 费 者 间 的 应 用 、 企 业 间 的 应 用 、 企 业 与 政 府 间 的 应 用 。	电 子 商 务 的 应 用 范 围 ： 企 业 与 消 费 者 间 的 应 用 、 企 业 间 的 应 用 、 企 业 与 政 府 间 的 应 用 。	10.0
电 子 商 务 的 应 用 范 围 有 哪 些 ?	电 子 商 务 的 三 大 应 用 范 围 ： 企 业 与 消 费 者 间 的 应 用 、 企 业 间 的 应 用 、 企 业 与 政 府 间 的 应 用 。	企 业 间 的 应 用 、 企 业 与 消 费 者 间 的 应 用 、 企 业 与 政 府 间 的 应 用 。	10.0
E D I 的 特 点 有 哪 些 ?	E D I 系 统 具 有 以 下 三 个 特 点 ： E D I 是 两 个 或 多 个 计 算 机 应 用 系 统 之 间 的 通 信 ； 计 算 机 之 间 传 输 的 信 息 遵 循 一 定 的 语 法 规 则 与 国 际 标 准 ； 自 动 投 递 和 传 输 处 理 数 据 而 不 需 要 人 工 介 入 。	E D I 系 统 的 特 点 ： E D I 是 两 个 或 多 个 计 算 机 应 用 系 统 之 间 的 通 信 ； 计 算 机 之 间 传 输 的 信 息 遵 循 一 定 的 语 法 规 则 与 国 际 标 准 ； 自 动 投 递 和 传 输 处 理 数 据 而 不 需 要 人 工 介 入 。	10.0
E D I 的 特 点 有 哪 些 ?	E D I 系 统 具 有 以 下 三 个 特 点 ： E D I 是 两 个 或 多 个 计 算 机 应 用 系 统 之 间 的 通 信 ； 计 算 机 之 间 传 输 的 信 息 遵 循 一 定 的 语 法 规 则 与 国 际 标 准 ； 自 动 投 递 和 传 输 处 理 数 据 而 不 需 要 人 工 介 入 。	E D I 是 两 个 或 多 个 计 算 机 应 用 系 统 之 间 的 通 信 ； 计 算 机 之 间 传 输 的 数 据 遵 循 一 定 的 语 义 规 范 与 通 信 协 议 ； 应 用 程 序 自 动 响 应 数 据 。	3.0
简 述 E D I 的 工 作 流 程 。	E D I 的 工 作 流 程 如 下 ： 发 送 方 计 算 机 应 用 系 统 生 成 原 始 用 户 数 据 ； 发 送 报 文 的 数 据 映 射 与 翻 译 ； 发 送 标 准 的 E D I 文 件 ； 贸 易 伙 伴 获 取 标 准 的 E D I 文 件 ； 接 收 文 件 的 数 据 映 射 与 翻 译 。	E D I 的 工 作 流 程 ： 发 送 方 计 算 机 应 用 系 统 生 成 原 始 用 户 数 据 ； 发 送 报 文 的 数 据 映 射 与 翻 译 ； 发 送 标 准 的 E D I 文 件 ； 贸 易 伙 伴 获 取 标 准 的 E D I 文 件 ； 接 收 文 件 的 数 据 映 射 与 翻 译 。	10.0
简 述 E D I 的 工 作 流 程 。	E D I 的 工 作 流 程 如 下 ： 发 送 方 计 算 机 应 用 系 统 生 成 原 始 用 户 数 据 ； 发 送 报 文 的 数 据 映 射 与 翻 译 ； 发 送 标 准 的 E D I 文 件 ； 贸 易 伙 伴 获 取 标 准 的 E D I 文 件 ； 接 收 文 件 的 数 据 映 射 与 翻 译 。	发 送 信 息 帧 的 数 据 压 缩 与 解 压 缩 ； 发 送 标 准 的 E D I 文 件 ； 贸 易 伙 伴 获 取 标 准 的 E D I 文 件 ； 接 受 确 认 帧 的 数 据 压 缩 与 解 压 缩 ； 接 受 方 应 用 系 统 处 理 解 压 缩 后 的 信 息 。	4.0
E D I 的 接 入 方 式 有 哪 些 ?	E D I 的 三 种 接 入 方 式 ： 具 有 单 一 计 算 机 应 用 系 统 的 用 户 接 入 方 式 、 具 有 多 个 计 算 机 应 用 系 统 的 用 户 接 入 方 式 、 普 通 用 户 接 入 方 式 。	E D I 的 接 入 方 式 ： 具 有 单 一 计 算 机 应 用 系 统 的 用 户 接 入 方 式 、 具 有 多 个 计 算 机 应 用 系 统 的 用 户 接 入 方 式 、 普 通 用 户 接 入 方 式 。	10.0
E D I 的 接 入 方 式 有 哪 些 ?	E D I 的 三 种 接 入 方 式 ： 具 有 单 一 计 算 机 应 用 系 统 的 用 户 接 入 方 式 、 具 有 多 个 计 算 机 应 用 系 统 的 用 户 接 入 方 式 、 普 通 用 户 接 入 方 式 。	普 通 用 户 接 入 方 式 、 具 有 多 个 计 算 机 应 用 系 统 的 用 户 接 入 方 式 、 具 有 单 一 计 算 机 应 用 系 统 的 用 户 接 入 方 式 。	10.0
电 子 商 务 存 在 哪 些 问 题 ?	电 子 商 务 存 在 如 下 问 题 ： 网 络 安 全 技 术 和 网 络 可 靠 性 有 待 于 进 一 步 提 高 ； 电 子 支 付 手 段 不 能 满 足 电 子 商 务 发 展 的 需 要 ； 电 子 商 务 方 面 的 法 律 法 规 还 不 健 全 ； 电 子 商 务 需 要 各 行 各 业 的 参 与 。	存 在 的 问 题 ： 网 络 安 全 技 术 和 网 络 可 靠 性 有 待 于 进 一 步 提 高 ； 电 子 支 付 手 段 不 能 满 足 电 子 商 务 发 展 的 需 要 ； 电 子 商 务 方 面 的 法 律 法 规 还 不 健 全 ； 电 子 商 务 需 要 各 行 各 业 的 参 与 。	10.0
电 子 商 务 存 在 哪 些 问 题 ?	电 子 商 务 存 在 如 下 问 题 ： 网 络 安 全 技 术 和 网 络 可 靠 性 有 待 于 进 一 步 提 高 ； 电 子 支 付 手 段 不 能 满 足 电 子 商 务 发 展 的 需 要 ； 电 子 商 务 方 面 的 法 律 法 规 还 不 健 全 ； 电 子 商 务 需 要 各 行 各 业 的 参 与 。	网 络 管 理 技 术 和 网 络 性 能 有 待 于 进 一 步 提 高 ； 电 子 商 务 方 面 的 协 议 标 准 还 不 规 范 ； 电 子 商 务 需 要 各 行 各 业 的 参 与 ； 电 子 支 付 手 段 不 能 满 足 电 子 商 务 发 展 的 需 要 。	5.0
电 子 商 务 的 体 系 结 构 分 为 哪 些 层 次 ?	电 子 商 务 的 体 系 结 构 可 分 为 以 下 四 个 层 次 ： 网 络 基 础 平 台 、 安 全 结 构 、 支 付 系 统 、 业 务 系 统 。	电 子 商 务 的 体 系 结 构 ： 网 络 基 础 平 台 、 安 全 结 构 、 支 付 系 统 、 业 务 系 统 。	10.0
电 子 商 务 的 体 系 结 构 分 为 哪 些 层 次 ?	电 子 商 务 的 体 系 结 构 可 分 为 以 下 四 个 层 次 ： 网 络 基 础 平 台 、 安 全 结 构 、 支 付 系 统 、 业 务 系 统 。	支 付 系 统 、 业 务 系 统 、 安 全 结 构 、 网 络 基 础 平 台 。	10.0
电 子 商 务 应 用 系 统 有 哪 些 子 系 统 ?	电 子 商 务 应 用 系 统 有 以 下 四 个 子 系 统 ： C A 安 全 认 证 系 统 、 支 付 网 关 系 统 、 业 务 应 用 系 统 、 用 户 及 终 端 系 统 。	电 子 商 务 应 用 系 统 的 子 系 统 ： C A 安 全 认 证 系 统 、 支 付 网 关 系 统 、 业 务 应 用 系 统 、 用 户 及 终 端 系 统 。	10.0
电 子 商 务 应 用 系 统 有 哪 些 子 系 统 ?	电 子 商 务 应 用 系 统 有 以 下 四 个 子 系 统 ： C A 安 全 认 证 系 统 、 支 付 网 关 系 统 、 业 务 应 用 系 统 、 用 户 及 终 端 系 统 。	支 付 网 关 系 统 、 C A 安 全 认 证 系 统 、 业 务 应 用 系 统 、 用 户 及 终 端 系 统 。	10.0
电 子 商 务 应 用 环 境 中 使 用 哪 些 安 全 技 术 ?	电 子 商 务 应 用 环 境 中 使 用 以 下 三 类 安 全 技 术 ： 数 字 信 封 、 数 字 签 名 、 安 全 数 据 传 输 和 身 份 认 证 流 程 。	电 子 商 务 应 用 环 境 中 使 用 的 安 全 技 术 ： 数 字 信 封 、 数 字 签 名 、 安 全 数 据 传 输 和 身 份 认 证 流 程 。	10.0
电 子 商 务 应 用 环 境 中 使 用 哪 些 安 全 技 术 ?	电 子 商 务 应 用 环 境 中 使 用 以 下 三 类 安 全 技 术 ： 数 字 信 封 、 数 字 签 名 、 安 全 数 据 传 输 和 身 份 认 证 流 程 。	安 全 数 据 传 输 和 身 份 认 证 流 程 、 数 字 签 名 、 数 字 信 封 。	10.0
电 子 支 付 方 式 有 哪 些 ?	电 子 支 付 方 式 有 以 下 三 种 ： 电 子 现 金 、 电 子 信 用 卡 、 电 子 支 票 。	电 子 支 付 方 式 有 ： 电 子 现 金 、 电 子 信 用 卡 、 电 子 支 票 。	10.0
电 子 支 付 方 式 有 哪 些 ?	电 子 支 付 方 式 有 以 下 三 种 ： 电 子 现 金 、 电 子 信 用 卡 、 电 子 支 票 。	电 子 信 用 卡 、 电 子 现 金 、 电 子 支 票 。	10.0
简 述 S E T 的 设 计 目 标 。	S E T 的 设 计 目 标 如 下 ： 信 息 在 公 共 因 特 网 上 安 全 传 输 ； 订 单 信 息 和 个 人 账 号 信 息 隔 离 ； 持 卡 人 和 商 家 互 相 认 证 ； 要 求 软 件 遵 循 相 同 协 议 和 消 息 格 式 ； 可 以 运 行 在 不 同 的 硬 件 和 操 作 系 统 平 台 上 。	S E T 的 设 计 目 标 ： 信 息 在 公 共 因 特 网 上 安 全 传 输 ； 订 单 信 息 和 个 人 账 号 信 息 隔 离 ； 持 卡 人 和 商 家 互 相 认 证 ； 要 求 软 件 遵 循 相 同 协 议 和 消 息 格 式 ； 可 以 运 行 在 不 同 的 硬 件 和 操 作 系 统 平 台 上 。	10.0
简 述 S E T 的 设 计 目 标 。	S E T 的 设 计 目 标 如 下 ： 信 息 在 公 共 因 特 网 上 安 全 传 输 ； 订 单 信 息 和 个 人 账 号 信 息 隔 离 ； 持 卡 人 和 商 家 互 相 认 证 ； 要 求 软 件 遵 循 相 同 协 议 和 消 息 格 式 ； 可 以 运 行 在 不 同 的 硬 件 和 操 作 系 统 平 台 上 。	数 据 在 万 维 网 上 高 速 传 输 ； 持 卡 人 和 商 家 互 相 认 证 ； 要 求 交 互 双 方 遵 循 相 同 规 范 和 传 输 协 议 ； 订 单 信 息 和 个 人 账 号 信 息 隔 离 ； 可 以 运 行 在 不 同 的 硬 件 和 操 作 系 统 平 台 上 。	6.0
S E T 协 议 主 要 涉 及 哪 些 当 事 人 ?	S E T 协 议 主 要 涉 及 以 下 当 事 人 ： 持 卡 人 、 发 卡 机 构 、 商 家 、 银 行 、 支 付 网 关 。	S E T 协 议 涉 及 的 当 事 人 ： 持 卡 人 、 发 卡 机 构 、 商 家 、 银 行 、 支 付 网 关 。	10.0
S E T 协 议 主 要 涉 及 哪 些 当 事 人 ?	S E T 协 议 主 要 涉 及 以 下 当 事 人 ： 持 卡 人 、 发 卡 机 构 、 商 家 、 银 行 、 支 付 网 关 。	支 付 网 关 、 银 行 、 持 卡 人 、 发 卡 机 构 、 商 家 。	10.0
S E T 协 议 的 安 全 技 术 有 哪 些 ？	S E T 协 议 的 安 全 技 术 有 ： 数 字 信 封 技 术 、 数 字 签 名 技 术 、 信 息 摘 要 技 术 、 双 重 签 名 技 术 。	S E T 协 议 的 安 全 技 术 分 别 是 ： 数 字 信 封 技 术 、 数 字 签 名 技 术 、 信 息 摘 要 技 术 、 双 重 签 名 技 术 。	10.0
S E T 协 议 的 安 全 技 术 有 哪 些 ？	S E T 协 议 的 安 全 技 术 有 ： 数 字 信 封 技 术 、 数 字 签 名 技 术 、 信 息 摘 要 技 术 、 双 重 签 名 技 术 。	信 息 摘 要 技 术 、 数 字 信 封 技 术 、 数 字 签 名 技 术 、 双 重 签 名 技 术 。	10.0
S E T 协 议 涉 及 哪 些 证 书 ?	S E T 协 议 涉 及 以 下 证 书 ： 持 卡 人 证 书 、 发 卡 机 构 证 书 、 商 家 证 书 、 银 行 证 书 、 支 付 网 关 证 书 。	S E T 协 议 涉 及 的 证 书 ： 持 卡 人 证 书 、 发 卡 机 构 证 书 、 商 家 证 书 、 银 行 证 书 、 支 付 网 关 证 书 。	10.0
S E T 协 议 涉 及 哪 些 证 书 ?	S E T 协 议 涉 及 以 下 证 书 ： 持 卡 人 证 书 、 发 卡 机 构 证 书 、 商 家 证 书 、 银 行 证 书 、 支 付 网 关 证 书 。	支 付 网 关 证 书 、 银 行 证 书 、 持 卡 人 证 书 、 发 卡 机 构 证 书 、 商 家 证 书 。	10.0
